iter	CrossEntropy
216	0.4520103628
217	0.4520103608
218	0.4516450076
219	0.450035603
220	0.4500356004
221	0.4498019886
222	0.4494172178
223	0.4491422293
224	0.4484727317
225	0.4483457974
226	0.4479198554
227	0.4479198551
228	0.4479198548
229	0.4475795084
230	0.44752637
231	0.4475263476
232	0.4470123488
233	0.4468979035
234	0.4467628782
235	0.4454951699
236	0.4454951596
237	0.4454876087
238	0.4454876046
239	0.4451911135
240	0.4451752953
241	0.4451752912
242	0.4451635512
243	0.444836347
244	0.4446713438
245	0.4446639637
246	0.4446639626
247	0.4446639601
248	0.4442296286
249	0.4434193796
250	0.4434193787
251	0.4434193779
252	0.4432526556
253	0.4429592857
254	0.4429592835
255	0.4429512012
256	0.4427571113
257	0.4427571067
258	0.4421174278
259	0.442117427
260	0.4420998197
261	0.442099819
262	0.4420934941
263	0.4403086351
264	0.439536213
265	0.4395299505
266	0.4384412468
267	0.4383241349
268	0.4383241346
269	0.4381483564
270	0.4379859023
271	0.4378868947
272	0.437886894
273	0.4369632389
274	0.4369632386
275	0.4369555696
276	0.4369555694
277	0.4369555694
278	0.4365403223
279	0.4357418853
280	0.4357418847
281	0.4356415277
282	0.435630254
283	0.435410829
284	0.4354035362
285	0.4353966641
286	0.4353902196
287	0.434731824
288	0.434391986
289	0.4339441409
290	0.433845601
291	0.43341031
292	0.4332462276
293	0.4332462276
294	0.4332462276
295	0.4332462276
296	0.4330257088
297	0.4325119749
298	0.4323117025
299	0.431610031
300	0.4309155196
301	0.4306835097
302	0.4300240554
303	0.4299350924
304	0.4296340167
305	0.4270436279
306	0.4270435887
307	0.4270435836
308	0.4270395636
309	0.4241125412
310	0.4241118737
311	0.423596159
312	0.422312857
313	0.4223120277
314	0.4223112474
315	0.4223105132
316	0.4222467042
317	0.4218306585
318	0.4195497269
319	0.4191785031
320	0.4191652227
321	0.4189872432
322	0.4189783663
323	0.4186523535
324	0.4186512343
325	0.4186396757
326	0.4185238336
327	0.418522905
328	0.4183147588
329	0.416217463
330	0.4160784559
331	0.4156453646
332	0.4141056404
333	0.4141041287
334	0.4135858468
335	0.4135845346
336	0.4135826736
337	0.4134936481
338	0.4134352173
339	0.4134340891
340	0.4112778427
341	0.4111665745
342	0.411088119
343	0.4107930618
344	0.4103290585
345	0.4103274226
346	0.4101337869
347	0.4100228571
348	0.4099349255
349	0.4099199233
350	0.4098611477
351	0.4098051211
352	0.4098040496
353	0.4096398519
354	0.4079566078
355	0.4073137749
356	0.4069699911
357	0.4060128321
358	0.4053895887
359	0.4053882783
360	0.4052797063
361	0.4052785581
362	0.4052630633
363	0.4052620463
364	0.4052244906
365	0.405223591
366	0.4051472492
367	0.4051464484
368	0.4049927018
369	0.4049919755
370	0.4049913199
371	0.4049907031
372	0.4049901227
373	0.4049895767
374	0.4048415175
375	0.4048410399
376	0.4046942421
377	0.4046938249
378	0.4046934323
379	0.4046911742
380	0.4044087379
381	0.4033322797
382	0.4017541826
383	0.4017533665
384	0.4016742035
385	0.4016734792
386	0.4013324932
387	0.4010436696
388	0.4008984308
389	0.4008978513
390	0.400897306
391	0.4008912835
392	0.4006384728
393	0.4003511775
394	0.4002922139
395	0.3998853794
396	0.3998851454
397	0.399592232
398	0.3993768788
399	0.3992055829
400	0.3992051265
401	0.3991505662
402	0.3991505358
403	0.3989409103
404	0.39893979
405	0.3989397256
406	0.3978627278
407	0.3978623075
408	0.3978223006
409	0.3978219314
410	0.3978105567
411	0.3978103439
412	0.3977756453
413	0.3975490656
414	0.3975487906
415	0.3975486584
416	0.3972584348
417	0.3972583954
418	0.3972582244
419	0.3972450205
420	0.3972395542
421	0.3972394292
422	0.3971463731
423	0.3971461768
424	0.3970275237
425	0.3970274629
426	0.3970274615
427	0.3956134794
428	0.3956129662
429	0.3956116946
430	0.3956112404
431	0.3952620297
432	0.3948654821
433	0.3948460645
434	0.3948197378
435	0.3948194451
436	0.3945482655
437	0.3944742872
438	0.3942978208
439	0.3935668483
440	0.393463972
441	0.39315794
442	0.3931575766
443	0.3931495715
444	0.3930249231
445	0.3930233232
446	0.3930231782
447	0.3927208411
448	0.3923081742
449	0.3922408779
450	0.3922408238
451	0.3920236863
452	0.3918104951
453	0.391810494
454	0.3917540471
455	0.3917029219
456	0.3914745431
457	0.3911506003
458	0.3911357478
459	0.3911357103
460	0.3911356785
461	0.3911113536
462	0.3910863718
463	0.3910709687
464	0.3907325339
465	0.3906956353
466	0.390650621
467	0.3897106702
468	0.3887670768
469	0.3887457568
470	0.3887457294
471	0.3886480357
472	0.3886478328
473	0.3885143116
474	0.3885143003
475	0.3884919275
476	0.3884918972
477	0.3874893192
478	0.3872386638
479	0.3872383226
480	0.3870078037
481	0.3867829465
482	0.3867200897
483	0.3867022795
484	0.3867014357
485	0.386694258
486	0.3866941039
487	0.3866940701
488	0.386692439
489	0.3866443829
490	0.3866345203
491	0.3865297127
492	0.3865179128
493	0.3865178842
494	0.3862462345
495	0.386136689
496	0.3861349031
497	0.3861339096
498	0.3861338719
499	0.3861338641
500	0.3861134988
501	0.3861134915
502	0.385802983
503	0.3856862343
504	0.3854774258
505	0.3853746108
506	0.3847141288
507	0.3844558971
508	0.3844558087
509	0.384454604
510	0.3844545928
511	0.3831988374
512	0.383140334
513	0.3831403054
514	0.3829702181
515	0.3828812435
516	0.3828812131
517	0.3828619691
518	0.3828619666
519	0.3828045368
520	0.3827920871
521	0.3827350422
522	0.3826747543
523	0.3826496493
524	0.3824255667
525	0.3821336496
526	0.3821190734
527	0.3821084432
528	0.3819095335
529	0.3818844671
530	0.3818695224
531	0.3818695138
532	0.3818695055
533	0.3818441642
534	0.3817972047
535	0.3817788669
536	0.3817788651
537	0.3817545028
538	0.3815292794
539	0.3814115764
540	0.3813606184
541	0.3813091668
542	0.3812866597
543	0.381276018
544	0.3812069669
545	0.3811851838
546	0.3811067377
547	0.3810635307
548	0.380993795
549	0.3809937912
550	0.3809929369
551	0.3808847208
552	0.3807575517
553	0.3805766565
554	0.3805213899
555	0.3805065541
556	0.3804449008
557	0.3803562617
558	0.3803133455
559	0.3803133438
560	0.380313342
561	0.3803133418
562	0.3803067485
563	0.3802940203
564	0.3801656357
565	0.3800411856
566	0.3800411839
567	0.3800290955
568	0.3799981207
569	0.3799612896
570	0.3789836461
571	0.3777011246
572	0.3775458213
573	0.3775451521
574	0.3775445288
575	0.3775444712
576	0.3774818534
577	0.377457845
578	0.3774434044
579	0.3774357558
580	0.3774357518
581	0.3774023589
582	0.3773473509
583	0.3772735319
584	0.3772284994
585	0.3771899783
586	0.3771895279
587	0.3771895272
588	0.3771895259
589	0.3771617183
590	0.3771396446
591	0.3771396434
592	0.3771396421
593	0.3771396409
594	0.3771295174
595	0.3771035827
596	0.3770363344
597	0.3768931423
598	0.3768860227
599	0.3767606613
600	0.3766976796
601	0.3766960889
602	0.3766960769
603	0.3766782547
604	0.3758393145
605	0.3758393121
606	0.3758393097
607	0.3758392905
608	0.3758392027
609	0.3758293014
610	0.3754550318
611	0.3754550232
612	0.3754544286
613	0.3749250749
614	0.3749154972
615	0.3749069547
616	0.3749069545
617	0.3749069481
618	0.3749069182
619	0.374792634
620	0.374718416
621	0.3737876328
622	0.3737875343
623	0.3737875317
624	0.3737775308
625	0.3737322975
626	0.3733366467
627	0.3733246885
628	0.373324671
629	0.3733130286
630	0.3725088546
631	0.3724710368
632	0.3723948114
633	0.372280653
634	0.3722319925
635	0.3722319488
636	0.3722313749
637	0.3722143763
638	0.3722143036
639	0.3722039511
640	0.3722038125
641	0.3722038008
642	0.3721967182
643	0.3721910106
644	0.372191008
645	0.3721904568
646	0.3721739154
647	0.3720383998
648	0.3720383804
649	0.3720329263
650	0.3720002322
651	0.3717536362
652	0.3717536183
653	0.3716108762
654	0.3714953209
655	0.3712056388
656	0.3712056277
657	0.3711723904
658	0.3711719495
659	0.3711533259
660	0.3708462863
661	0.370832083
662	0.3708306431
663	0.3708221757
664	0.3708182672
665	0.3706835268
666	0.3706835223
667	0.3706835222
668	0.3706515841
669	0.3706485805
670	0.3704553893
671	0.3704553808
672	0.3703124645
673	0.3703124586
674	0.3695990195
675	0.3695077623
676	0.3695074768
677	0.3695074508
678	0.3694484038
679	0.3694483687
680	0.3694443124
681	0.3694436003
682	0.3694433573
683	0.3694164703
684	0.3694164435
685	0.3692887748
686	0.3692749629
687	0.3692586853
688	0.3692042919
689	0.3691033244
690	0.3691033226
691	0.369078473
692	0.3690671834
693	0.3690671826
694	0.3690671818
695	0.3690669791
696	0.3690669761
697	0.3690240712
698	0.3690112591
699	0.3690112476
700	0.3681672876
701	0.3680461125
702	0.3680460524
703	0.3680460519
704	0.3680460514
705	0.368046051
706	0.3679569851
707	0.3679492387
708	0.3679492231
709	0.367917853
710	0.3676761112
711	0.3674993791
712	0.3674839232
713	0.3673425499
714	0.3672714409
715	0.3670092231
716	0.3670014254
717	0.3669997126
718	0.3669711795
719	0.3669711761
720	0.3669448174
721	0.3669414939
722	0.3668844159
723	0.3668844146
724	0.3668650522
725	0.3668468338
726	0.3668247174
727	0.3668241374
728	0.3665167859
729	0.3665056804
730	0.366444654
731	0.3664446489
732	0.36572174
733	0.3657190918
734	0.3657190696
735	0.3656848532
736	0.3656844499
737	0.3656753922
738	0.3656320047
739	0.3656320033
740	0.3655482363
741	0.3655481905
742	0.365548185
743	0.3654762248
744	0.3654672813
745	0.3654593006
746	0.3654592595
747	0.3654533726
748	0.3654533706
749	0.3654533483
750	0.3654533404
751	0.3654533384
752	0.3653915152
753	0.3653264013
754	0.3653225988
755	0.365288966
756	0.3652889582
757	0.3650409053
758	0.3650405986
759	0.3650405956
760	0.365029782
761	0.3650297762
762	0.3648540735
763	0.3646750482
764	0.3644680734
765	0.3644680714
766	0.3644680623
767	0.3644680618
768	0.3643546504
769	0.3643546502
770	0.3641481077
771	0.3640922847
772	0.3640922843
773	0.3640534895
774	0.3640442504
775	0.3640157885
776	0.3639416243
777	0.3637074569
778	0.3636381759
779	0.3635619436
780	0.3635619412
781	0.3635619409
782	0.3635212543
783	0.3634824332
784	0.3634652714
785	0.3627853752
786	0.3627853682
787	0.3620743072
788	0.3620743066
789	0.3620743002
790	0.3620430596
791	0.362040665
792	0.3619673521
793	0.3619673468
794	0.3619158253
795	0.3619158138
796	0.3618856466
797	0.361800009
798	0.3618000079
799	0.3617999973
800	0.3617999918
801	0.3617999854
802	0.361799979
803	0.3617999787
804	0.3616556736
805	0.3615732639
806	0.3613419443
807	0.3613206388
808	0.3613033917
809	0.3612818521
810	0.36128185
811	0.3612110978
812	0.3612110444
813	0.3612110072
814	0.3612034267
815	0.3610790159
816	0.3610771518
817	0.3610771516
818	0.3610771484
819	0.3610771413
820	0.3610687555
821	0.3610556821
822	0.361055676
823	0.361025747
824	0.361009196
825	0.3610013831
826	0.3610013791
827	0.3605671339
828	0.3605671259
829	0.3605305821
830	0.3605182434
831	0.3604954466
832	0.3604862657
833	0.3604363086
834	0.3603858702
835	0.3599208879
836	0.3599208693
837	0.3598611745
838	0.3598611616
839	0.3598323766
840	0.3597416629
841	0.3597416603
842	0.3597416513
843	0.3597364574
844	0.3597175132
845	0.3597175038
846	0.3597082181
847	0.3597065749
848	0.3592577636
849	0.3592550891
850	0.3592083545
851	0.359208339
852	0.3591727821
853	0.3587349576
854	0.3587349506
855	0.3587205755
856	0.358720551
857	0.3587205502
858	0.3587205494
859	0.3585652283
860	0.358565221
861	0.3585577043
862	0.3585562917
863	0.3585562885
864	0.3585562853
865	0.3585562501
866	0.3585561993
867	0.35807243
868	0.3579803719
869	0.3579803265
870	0.3578415051
871	0.3578351365
872	0.3578351361
873	0.3578164383
874	0.3578123923
875	0.3573617994
876	0.357361788
877	0.3572807121
878	0.3572316593
879	0.3572313773
880	0.3572162568
881	0.3572161533
882	0.3568650663
883	0.3568650633
884	0.3568650393
885	0.3568615522
886	0.3568602751
887	0.3568590737
888	0.3568589823
889	0.3568243693
890	0.3568010504
891	0.3564083948
892	0.3564083885
893	0.356408189
894	0.3564040674
895	0.3564040646
896	0.3564037864
897	0.3562335001
898	0.3558421395
899	0.3557895514
900	0.3557893617
901	0.3557623555
902	0.3557566271
903	0.3557566198
904	0.3557563822
905	0.3557561586
906	0.3557317327
907	0.3557317211
908	0.3555857558
909	0.3555857451
910	0.3552232665
911	0.3551512002
912	0.3551511194
913	0.3551510921
914	0.3551510342
915	0.3550224912
916	0.3550164582
917	0.3550164397
918	0.3550112758
919	0.3550112642
920	0.3550046706
921	0.3547485132
922	0.3547448692
923	0.354744868
924	0.3547448667
925	0.3547367359
926	0.3547367312
927	0.3547367265
928	0.3542864497
929	0.3542864296
930	0.3542747937
931	0.3542747929
932	0.3542705194
933	0.3542705178
934	0.3542671638
935	0.3542663702
936	0.3542460839
937	0.3542460741
938	0.3542378039
939	0.3542370287
940	0.3542322206
941	0.3542322165
942	0.3542249427
943	0.354219531
944	0.3541702474
945	0.3541701771
946	0.3540843471
947	0.3540708526
948	0.3540699203
949	0.3540690168
950	0.3539006204
951	0.3538555552
952	0.3538503218
953	0.3538089921
954	0.3538089903
955	0.3538079984
956	0.353807978
957	0.3538041311
958	0.3538041137
959	0.3538004924
960	0.353734928
961	0.3537339323
962	0.353354005
963	0.3532568199
964	0.3531601954
965	0.3530880219
966	0.3530880211
967	0.3530880203
968	0.3530880163
969	0.3527089794
970	0.3526892888
971	0.3526892761
972	0.3526892661
973	0.3526892575
974	0.3526892498
975	0.3526892433
976	0.3525096128
977	0.352469542
978	0.3524695412
979	0.3524695405
980	0.3524695351
981	0.3524673003
982	0.3524648226
983	0.3524628441
984	0.3524483885
985	0.3521606745
986	0.3520968871
987	0.3520968797
988	0.352092332
989	0.3520015014
990	0.3520014974
991	0.3520014905
992	0.3519621984
993	0.3517077498
994	0.3517077455
995	0.3516726716
996	0.351651164
997	0.3516511631
998	0.3516476691
999	0.3516474075
